City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Isiro,CD,2022-09-27 23:33:59,2.7739,27.616,62.78,98,100,1.23
140,Puerto Del Rosario,ES,2022-09-27 23:34:00,28.5004,-13.8627,73.15,78,0,16.11
141,Puruaran,MX,2022-09-27 23:34:01,19.1,-101.5333,71.26,87,87,0.81
142,Yumen,CN,2022-09-27 23:34:01,40.2833,97.2,61.43,25,0,5.21
143,Sabang,ID,2022-09-27 23:34:03,5.8933,95.3214,80.6,75,100,22.59
144,Eugene,US,2022-09-27 23:31:00,44.0521,-123.0867,79.74,54,20,9.22
145,Neryungri,RU,2022-09-27 23:34:04,56.6709,124.6491,28.33,81,95,10.69
146,Peniche,PT,2022-09-27 23:34:05,39.3558,-9.3811,64.29,90,3,20.24
147,Gizo,SB,2022-09-27 23:34:06,-8.103,156.8419,83.19,72,79,12.68
148,Yukhnov,RU,2022-09-27 23:34:07,54.7444,35.2297,46.67,93,100,9.48
149,Digby,CA,2022-09-27 23:34:07,44.6169,-65.7655,63.55,98,28,8.48
150,Hilo,US,2022-09-27 23:34:08,19.7297,-155.09,86.29,77,75,13.8
151,Itarema,BR,2022-09-27 23:34:09,-2.9248,-39.9167,78.35,81,0,16.42
152,Platanos,GR,2022-09-27 23:34:09,37.6667,21.6167,70.09,92,40,1.79
153,San Patricio,US,2022-09-27 23:34:10,28.017,-97.5169,87.75,39,2,12.15
154,Fortuna,US,2022-09-27 23:32:09,40.5982,-124.1573,68.94,71,55,1.99
155,Da Nang,VN,2022-09-27 23:34:11,16.0678,108.2208,76.98,94,100,29.93
156,Alofi,NU,2022-09-27 23:32:47,-19.0595,-169.9187,75.09,83,75,10.36
157,Alta Floresta,BR,2022-09-27 23:34:11,-9.8756,-56.0861,75.52,69,65,2.59
158,Deputatskiy,RU,2022-09-27 23:34:12,69.3,139.9,21.74,96,100,4.23
159,Ostrovnoy,RU,2022-09-27 23:34:12,68.0531,39.5131,38.37,82,100,8.05
160,Beloha,MG,2022-09-27 23:34:13,-25.1667,45.05,66.7,93,0,9.57
161,Jumla,NP,2022-09-27 23:34:14,29.2747,82.1838,50.38,75,0,5.77
162,Waddan,LY,2022-09-27 23:34:15,29.1614,16.139,87.49,21,7,6.2
163,Aklavik,CA,2022-09-27 23:34:16,68.2191,-135.0107,32.38,99,100,16.13
