City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
173,Grand Gaube,MU,-20.0064,57.6608,70.38,69,6,7.0,clear sky
174,Bac Lieu,VN,9.285,105.7244,78.21,88,100,5.41,overcast clouds
175,Cururupu,BR,-1.8283,-44.8683,87.78,53,99,8.61,overcast clouds
176,Thompson,CA,55.7435,-97.8558,46.56,53,0,8.05,clear sky
177,Arlit,NE,18.7369,7.3853,91.83,32,68,5.97,broken clouds
178,Kamenka,RU,51.3223,42.7678,60.85,79,88,10.33,overcast clouds
179,Hailun,CN,47.45,126.9333,49.01,74,100,6.89,overcast clouds
180,Plettenberg Bay,ZA,-34.0527,23.3716,58.03,80,70,3.24,broken clouds
181,Kommunisticheskiy,RU,61.6789,64.4819,32.77,69,97,8.86,overcast clouds
182,Half Moon Bay,US,37.4636,-122.4286,65.17,87,100,6.91,mist
183,Semporna,MY,4.4818,118.6112,79.72,83,81,2.15,broken clouds
184,Kahului,US,20.8947,-156.47,79.84,68,20,13.0,few clouds
185,Ranong,TH,9.9658,98.6348,79.34,88,99,10.38,overcast clouds
186,Kodiak,US,57.79,-152.4072,36.91,87,100,5.75,overcast clouds
187,Awbari,LY,26.5921,12.7805,95.68,10,0,8.3,clear sky
188,Baruun-Urt,MN,46.6806,113.2792,39.69,68,100,17.85,overcast clouds
189,Alghero,IT,40.5589,8.3181,69.89,64,20,6.91,few clouds
190,Mamallapuram,IN,12.6264,80.1722,87.85,66,100,10.78,overcast clouds
191,Korla,CN,41.7597,86.1469,56.1,29,100,8.41,overcast clouds
192,Juneau,US,58.3019,-134.4197,53.6,92,75,9.22,light rain
193,Castro,BR,-24.7911,-50.0119,68.74,70,84,6.49,broken clouds
194,Miri,MY,4.4148,114.0089,80.74,94,40,1.14,scattered clouds
195,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
196,Esperance,AU,-33.8667,121.9,56.03,76,100,14.03,overcast clouds
197,Orotukan,RU,62.2667,151.7,16.93,97,98,2.42,overcast clouds
198,Moussoro,TD,13.6408,16.4901,99.09,19,10,9.28,clear sky
199,Carnarvon,AU,-24.8667,113.6333,67.06,78,0,23.0,clear sky
200,Aljezur,PT,37.3191,-8.8033,73.63,44,70,3.31,broken clouds
201,Santa Rosa,PH,14.3122,121.1114,82.38,88,10,7.11,clear sky
202,Airai,TL,-8.9266,125.4092,61.29,93,97,0.36,overcast clouds
203,Qui Nhon,VN,13.7667,109.2333,76.8,90,97,3.91,overcast clouds
204,Upernavik,GL,72.7868,-56.1549,22.86,80,42,6.17,scattered clouds
205,Port Hedland,AU,-20.3167,118.5667,73.45,78,40,11.5,scattered clouds
206,Saldanha,ZA,-33.0117,17.9442,62.65,77,98,20.04,overcast clouds
